Wache;Zone;Groupement;Hausnummer;Strasse;PLZ;Ort;WGS84_Lat;WGS84_Lon;LUREF_E;LUREF_N
CIS Colmar-Schieren;NORD;3_Nordstad;91;Rue de Luxembourg;7733;Colmar-Berg;49,8027687;6,0996900;75073,3281250;96484,0781250
CIS Consdorf;EST;1_Sauer;7A;Rue de la Mairie;6211;Consdorf;49,7800293;6,3399901;92378,1406250;93966,9453125
CIS Dalheim;EST;4_Dräi-Länner-Eck;36;Kettengaass;5680;Dalheim;49,5426178;6,2569456;86428,5703125;67550,7109375
CIS Dippach;SUD;1_Kordall;2;Op de Géieren;4972;Dippach;49,5841789;5,9740400;65965,3828125;72187,3828125
CIS Dudelange;SUD;3_Ginzebierg;97;Route de Luxembourg;3515;Dudelange;49,4893799;6,0812554;73706,3906250;61629,2460938
CIS Echternach;EST;1_Sauer;123;Route de Luxembourg;6452;Echternach;49,8049698;6,4041600;96991,0781250;96753,5312500
CIS Ell;NORD;4_Atert;53;Aline an Emile Mayrischstrooss;8528;Colpach-Haut;49,7675285;5,8190598;54852,8515625;92620,4765625
CIS Ermsdorf;EST;2_Zwee-Iernz;7;Haaptstrooss;9186;Stegen;49,8293610;6,1700902;80141,2500000;99439,4062500
CIS Esch-sur-Alzette;SUD;2_Belval;18;Rue Léon Metz;4238;Esch-sur-Alzette;49,5038910;5,9859900;66808,0312500;63255,3007812
CIS Feulen;NORD;4_Atert;92A;Route de Bastogne;9176;Niederfeulen;49,8579292;6,0374599;70604,0625000;102625,2265625
CIS Findel;CENTRE;3_Bockfiels;4;Rue de Trèves;2632;Findel;49,6263657;6,2005935;82345,9843750;76862,1562500
CIS Fischbach;EST;2_Zwee-Iernz;7;Op der Héicht;7475;Schoos;49,7537613;6,1668601;79908,8125000;91030,7265625
CIS Flaxweiler;EST;4_Dräi-Länner-Eck;3;Rue de la Moselle;5435;Oberdonven;49,6500282;6,3997498;96726,9843750;79519,4218750
CIS Frisange;SUD;3_Ginzebierg;17;Robert Schuman-Strooss;5751;Frisange;49,5144005;6,1892200;81527,9062500;64408,6718750
CIS Goesdorf;NORD;2_Stauséi;21A;Duerfstrooss;9644;Dahl;49,9347496;5,9732800;66011,1718750;111179,7031250
CIS Grevels;NORD;4_Atert;1;Wahlerstrooss;8818;Grevels;49,8479881;5,9081502;61301,9140625;101543,7500000
CIS Grevenmacher-Mertert;EST;3_Musel;35;Rue du Parc;6684;Mertert ;49,7025185;6,4748001;102122,8437500;85377,0000000
CIS Grosbous;NORD;4_Atert;7;Rue de Buschrodt;9155;Grosbous;49,8239288;5,9586701;64927,9687500;98856,3046875
CIS Heffingen;EST;2_Zwee-Iernz;14;Am Duerf;7670;Heffingen;49,7530289;6,2606401;86666,8671875;90953,7187500
CIS Hesperange;CENTRE;3_Bockfiels;112;Allée de la Jeunesse Sacrifiée 1940-1945;5863;Hesperange;49,5762863;6,1664505;79879,1171875;71291,3750000
CIS Hobscheid;CENTRE;2_Réibierg;1C;Rue de la Gare;8471;Eischen;49,6842804;5,8812799;59300,0000000;83342,1093750
CIS Hosingen;NORD;1_Our;2A;Haaptstrooss;9806;Hosingen;50,0113983;6,0893598;74353,8046875;119690,3046875
