Code_CIS	Pathologie
60473157	Athérosclérose cardio-vasculaire
60473157	Hypertension artérielle
60473812	Angine de poitrine
60473812	Angor
60473812	Hypertension artérielle
60474889	Anxiété
60474889	Dépression
60476630	Reflux gastro-oesophagien
60476630	Ulcère duodénal
60476630	Ulcère gastrique
60476630	Ulcère gastro-duodénal
60476979	Uvéite
60477038	Angine de poitrine
60477038	Angor
60477038	Extrasystoles
60477038	Hypertension artérielle
60477038	Infarctus du myocarde
60478097	Hypertension artérielle
60479345	Hypertension artérielle
60479345	Infarctus du myocarde
60479345	Insuffisance cardiaque
60480810	Diabète
60481517	Hypercholestérolémie
60481517	Hyperlipidémie
60482665	Asthme
60482665	BPCO
60482665	Bronchopneumopathie chronique obstructive
60483685	Hypertension artérielle
60485234	Herpès génital
60485953	Maladie de Parkinson
60486090	Migraine
60486279	Dépression
60488216	Hypertension artérielle
60489617	Hypertension artérielle
60489617	Infarctus du myocarde
60489617	Insuffisance cardiaque
60489841	Hypertension artérielle
60489841	Infarctus du myocarde
60489841	Insuffisance cardiaque
60490256	Psoriasis
60490893	Dépression
60490893	Schizophrénie
60491130	Hémorroïdes
60492702	Angiome
60492702	BPCO
60492702	Bronchopneumopathie chronique obstructive
60492702	Laryngite aiguë
60492702	Lupus
60492702	Maladie de Crohn
60492702	Nausées et vomissements
60492702	Polyarthrite rhumatoïde
60492702	Rhinite allergique
60492702	Sinusite
60492702	Tuberculose
60492702	Urticaire
60492702	Uvéite
60493359	Hépatite B
60494614	Polyarthrite rhumatoïde
60494895	Reflux gastro-oesophagien
60494895	Ulcère duodénal
60494895	Ulcère gastrique
60494895	Ulcère gastro-duodénal
60496348	Hypotension orthostatique
60497140	Diabète
60498751	Maladie de Parkinson
60502840	Pityriasis versicolor
60505950	Asthme
60506358	Hyperuricémie
60507086	Schizophrénie
60507271	Anxiété
60507271	Urticaire
60511953	Hypercholestérolémie
60511953	Hyperlipidémie
60511953	Infarctus du myocarde
60512090	Hypertension artérielle
60512336	Athérosclérose cardio-vasculaire
60512336	Hypercholestérolémie
60512336	Hyperlipidémie
60512521	Asthme
60513032	Adénome bénin de la prostate
60513032	Hypertrophie bénigne de la prostate
60514928	Hypertension artérielle
60516765	BPCO
60516765	Bronchopneumopathie chronique obstructive
60516765	Cystite
60516765	Sinusite
60516982	Hypertension artérielle
60517664	Schizophrénie
60519117	Hyperlipidémie
60519505	Hypertension artérielle
60521470	Pityriasis versicolor
60524064	Anxiété
60524064	Dépression
60524826	Angine de poitrine
60524826	Angor
60524826	Hypertension artérielle
60526880	Impétigo
60526880	Sinusite
60527320	Vaginite
60528874	Anxiété
60528874	Dépression
60529218	Polyarthrite juvénile
60529218	Polyarthrite rhumatoïde
60529218	Psoriasis
60530882	Nausées et vomissements
60530925	Schizophrénie
60534076	Alcoolisme
60534076	Anxiété
60535331	Vaginite
60536209	Hypertension artérielle
60536611	Ulcère duodénal
60536611	Ulcère gastrique
60536611	Ulcère gastro-duodénal
60539130	Rhinite allergique
60539130	Urticaire
60542920	Hypertension artérielle
60542920	Infarctus du myocarde
60542920	Insuffisance cardiaque
60543292	Hypertension artérielle
60545083	Tabagisme
60546299	Asthme
60546662	Anxiété
60546662	Dépression
60548802	Dépression
60548802	Schizophrénie
60549911	Angine de poitrine
60549911	Angor
60549911	Insuffisance cardiaque
60550568	Ulcère duodénal
60550568	Ulcère gastrique
60550988	Dysménorrhée
60550988	Migraine
60550988	Polyarthrite rhumatoïde
60550988	Règles douloureuses
60552619	Acné
60552925	Hypertension artérielle
60554125	Polyarthrite rhumatoïde
60555889	Angine de poitrine
60555889	Angor
60555889	Hypertension artérielle
60556852	Cystite
60556852	Otite moyenne aiguë
60556852	Sinusite
60557096	Pityriasis versicolor
60558294	Reflux gastro-oesophagien
60558294	Ulcère duodénal
60558294	Ulcère gastrique
60558294	Ulcère gastro-duodénal
60558554	Hypertension artérielle
60558554	Hypotension artérielle
60558682	Diarrhée
60560046	Hypertension artérielle
60560224	Athérosclérose cardio-vasculaire
60560224	Hypertension artérielle
60560861	Candidose buccale
60560861	Onychomycose
60560861	Pityriasis versicolor
60561461	Nausées et vomissements
60562606	Adénome bénin de la prostate
60562606	Hypertrophie bénigne de la prostate
60564219	Rhinite allergique
60565310	Hypotension artérielle
60565730	Hypertension artérielle
60565730	Insuffisance cardiaque
60566686	Hypertension artérielle
60566686	Insuffisance cardiaque
60568235	Rhinite allergique
60568559	Hypertension artérielle
60568559	Insuffisance cardiaque
60569419	Asthme
60569419	BPCO
60569419	Bronchopneumopathie chronique obstructive
60570108	Athérosclérose cardio-vasculaire
60570108	Hypercholestérolémie
60570108	Hyperlipidémie
60570229	Hypertension artérielle
60571391	Asthme
60572618	Constipation
60572746	Impuissance masculine
60574505	Nausées et vomissements
60574868	Glaucome
60577565	Hypertension artérielle
60578560	Hypertension artérielle
60579228	Epilepsie
60580369	Alopécie
60581115	Dépression
60581115	Schizophrénie
60582021	Ostéoporose
60582092	Rhinite allergique
60582092	Urticaire
60582498	Hypertension artérielle
60583269	Athérosclérose cardio-vasculaire
60583269	Hypercholestérolémie
60583269	Hyperlipidémie
60587100	Hypertension artérielle
60591091	Epilepsie
60594326	Constipation
60595232	Hypertension artérielle
60595727	Diabète
60596010	Conjonctivite allergique
60596494	Hypercholestérolémie
60596494	Hyperlipidémie
60598673	Insuffisance cardiaque
60599533	Schizophrénie
60600156	Schizophrénie
60600334	Conjonctivite allergique
60602431	Ulcère duodénal
60605000	Carence en vitamine D
60605000	Ostéoporose
60605064	Schizophrénie
60606586	Anxiété
60606586	Dépression
60608384	Schizophrénie
60609568	Arthrose du genou
60609568	Gonarthrose
60610595	Dysménorrhée
60610595	Règles douloureuses
60616840	Herpès génital
60616840	Herpès labial
60616840	Herpès oculaire
60616840	Zona ophtalmique
60617052	BPCO
60617052	Bronchopneumopathie chronique obstructive
60617052	Maladie de Lyme
60617052	Otite moyenne aiguë
60617052	Syphilis
60618154	Zona ophtalmique
60618841	Anxiété
60618841	Epilepsie
60619174	Hypercholestérolémie
60619174	Hyperlipidémie
60620486	Enurésie
60620664	Reflux gastro-oesophagien
60620664	Ulcère duodénal
60620664	Ulcère gastrique
60620664	Ulcère gastro-duodénal
60622537	Reflux gastro-oesophagien
60622537	Ulcère duodénal
60622537	Ulcère gastrique
60622537	Ulcère gastro-duodénal
60622868	Epilepsie
60623831	Maladie de Parkinson
60624171	Dépression
60624171	Schizophrénie
60625647	Schizophrénie
60625921	Hypertension artérielle
60625921	Insuffisance cardiaque
60626197	Lupus
60626197	Polyarthrite rhumatoïde
60627865	Polyarthrite juvénile
60627865	Polyarthrite rhumatoïde
60628554	Angine de poitrine
60628554	Angor
60628554	Hypertension artérielle
60630498	Ostéoporose
60632638	Urticaire
